controle,id_iso,titulo,tipo_controle,propriedade_si,conceito_si,capacidade_op,dominio_seg,tema_controle,descricao_controle,questão_controle
47,7.3,"segurança de escritórios, salas e instalações",preventivo,"confidencialidade, integridade, disponibilidade",proteger,segurança física,proteção,físico,"Segurança física para escritórios, salas e instalações deve ser projetada e aplicada.",
48,7.4,monitoramento de segurança física,detectivo,"integridade, disponibilidade",detectar,segurança física,defesa,físico,Instalações devem ser monitoradas continuamente contra acessos não autorizados.,
49,7.5,proteção contra ameaças físicas e ambientais,preventivo,"disponibilidade, integridade",proteger,segurança física,proteção,físico,"Proteções contra incêndios, enchentes e outras ameaças físicas devem ser implementadas.",
50,7.6,trabalho em áreas seguras,preventivo,confidencialidade,proteger,segurança física,proteção,físico,Procedimentos para trabalho em áreas seguras devem ser definidos e seguidos.,
51,7.7,mesa limpa e tela limpa,preventivo,confidencialidade,proteger,proteção da informação,proteção,físico,Informações sensíveis não devem ficar expostas em mesas ou telas sem supervisão.,
52,7.8,localização e proteção de equipamentos,preventivo,"disponibilidade, integridade",proteger,segurança física,proteção,físico,Equipamentos devem ser posicionados e protegidos contra ameaças físicas e ambientais.,
53,7.9,segurança de ativos fora das instalações,preventivo,"confidencialidade, integridade, disponibilidade",proteger,gestão de ativos,proteção,físico,Ativos utilizados fora das instalações devem receber proteção apropriada.,
54,7.10,mídias de armazenamento,"preventivo, corretivo","confidencialidade, integridade","proteger, recuperar",proteção da informação,"proteção, resiliência",físico,Mídias de armazenamento devem ser gerenciadas durante todo o ciclo de vida.,
55,7.11,serviços de apoio,preventivo,disponibilidade,proteger,continuidade,resiliência,físico,Serviços de apoio como energia e refrigeração devem ser protegidos.,
56,7.12,segurança do cabeamento,preventivo,"confidencialidade, integridade, disponibilidade",proteger,segurança de sistemas e redes,proteção,físico,Cabeamentos de energia e telecomunicações devem ser protegidos contra interceptação ou danos.,
57,7.13,manutenção de equipamentos,"preventivo, corretivo","disponibilidade, integridade","proteger, recuperar",continuidade,resiliência,físico,Equipamentos devem receber manutenção apropriada para garantir disponibilidade e integridade.,
58,7.14,descarte seguro ou reutilização de equipamentos,corretivo,confidencialidade,recuperar,gestão de ativos,resiliência,físico,Equipamentos contendo informações devem ser descartados ou reutilizados de forma segura.,
59,8.1,dispositivos endpoint do usuário,preventivo,"confidencialidade, integridade, disponibilidade",proteger,segurança de sistemas e redes,proteção,tecnológico,"Informações armazenadas, processadas ou acessadas por dispositivos endpoint devem ser protegidas.",
60,8.2,direitos de acesso privilegiado,"preventivo, detectivo","confidencialidade, integridade","proteger, detectar",gestão de identidade e acesso,"proteção, defesa",tecnológico,Direitos de acesso privilegiado devem ser restritos e controlados.,
61,8.3,restrição de acesso à informação,preventivo,confidencialidade,proteger,gestão de identidade e acesso,proteção,tecnológico,O acesso às informações deve ser restrito conforme política de controle de acesso.,
62,8.4,acesso ao código-fonte,"preventivo, detectivo","confidencialidade, integridade","proteger, detectar",segurança de aplicações,"proteção, defesa",tecnológico,O acesso ao código-fonte deve ser restrito e controlado.,
63,8.5,autenticação segura,preventivo,confidencialidade,proteger,gestão de identidade e acesso,proteção,tecnológico,Tecnologias e procedimentos de autenticação segura devem ser implementados.,
64,8.6,gerenciamento de capacidade,preventivo,disponibilidade,proteger,continuidade,resiliência,tecnológico,O uso de recursos deve ser monitorado e ajustado para garantir capacidade adequada.,
65,8.7,proteção contra malware,"preventivo, detectivo, corretivo","confidencialidade, integridade, disponibilidade","proteger, detectar, responder",gestão de ameaças e vulnerabilidades,"proteção, defesa",tecnológico,Medidas contra malware devem ser implementadas e mantidas.,
66,8.8,gerenciamento de vulnerabilidades técnicas,"preventivo, detectivo","confidencialidade, integridade, disponibilidade","identificar, detectar",gestão de ameaças e vulnerabilidades,defesa,tecnológico,"Vulnerabilidades técnicas devem ser identificadas, avaliadas e tratadas.",
67,8.9,gerenciamento de configuração,preventivo,"integridade, disponibilidade",proteger,configuração segura,proteção,tecnológico,"Configurações seguras de hardware, software e serviços devem ser definidas e mantidas.",
68,8.10,exclusão de informações,corretivo,confidencialidade,recuperar,proteção da informação,resiliência,tecnológico,Informações devem ser excluídas de forma segura quando não forem mais necessárias.,
69,8.11,mascaramento de dados,preventivo,confidencialidade,proteger,proteção da informação,proteção,tecnológico,Técnicas de mascaramento devem ser utilizadas para proteger dados sensíveis.,
70,8.12,prevenção contra vazamento de dados,"preventivo, detectivo",confidencialidade,"proteger, detectar",proteção da informação,"proteção, defesa",tecnológico,Medidas de prevenção contra vazamento de dados devem ser implementadas.,
71,8.13,backup de informações,"corretivo, preventivo","disponibilidade, integridade","recuperar, proteger",continuidade,resiliência,tecnológico,"Cópias de backup de informações, software e sistemas devem ser mantidas e testadas regularmente.",
72,8.14,redundância de recursos de processamento de informações,"preventivo, corretivo",disponibilidade,"proteger, recuperar",continuidade,resiliência,tecnológico,Recursos redundantes devem ser implementados para garantir disponibilidade dos serviços.,
73,8.15,registro de logs,detectivo,"integridade, disponibilidade",detectar,gestão de eventos da informação,defesa,tecnológico,"Logs de eventos devem ser produzidos, armazenados e protegidos.",
74,8.16,atividades de monitoramento,detectivo,"integridade, disponibilidade",detectar,gestão de eventos da informação,defesa,tecnológico,"Redes, sistemas e aplicações devem ser monitorados continuamente.",
75,8.17,sincronização de relógios,preventivo,integridade,proteger,segurança de sistemas e redes,proteção,tecnológico,Relógios de sistemas devem ser sincronizados com fontes confiáveis de tempo.,
76,8.18,uso de programas utilitários privilegiados,"preventivo, detectivo","confidencialidade, integridade","proteger, detectar",gestão de identidade e acesso,"proteção, defesa",tecnológico,O uso de utilitários privilegiados deve ser restrito e controlado.,
77,8.19,instalação de software em sistemas operacionais,preventivo,integridade,proteger,configuração segura,proteção,tecnológico,A instalação de software deve seguir regras e controles definidos.,
78,8.20,segurança de redes,preventivo,"confidencialidade, integridade, disponibilidade",proteger,segurança de sistemas e redes,proteção,tecnológico,Redes e dispositivos de rede devem ser protegidos e gerenciados adequadamente.,
79,8.21,segurança de serviços de rede,preventivo,"confidencialidade, integridade, disponibilidade",proteger,segurança de sistemas e redes,proteção,tecnológico,Serviços de rede devem possuir mecanismos apropriados de segurança.,
80,8.22,segregação de redes,preventivo,"confidencialidade, integridade, disponibilidade",proteger,segurança de sistemas e redes,proteção,tecnológico,Redes devem ser segregadas conforme níveis de risco e confiança.,
81,8.23,filtragem web,"preventivo, detectivo","confidencialidade, integridade","proteger, detectar",segurança de sistemas e redes,"proteção, defesa",tecnológico,O acesso a websites externos deve ser gerenciado e filtrado.,
82,8.24,uso de criptografia,preventivo,"confidencialidade, integridade",proteger,proteção da informação,proteção,tecnológico,Regras para uso efetivo da criptografia devem ser definidas e implementadas.,
83,8.25,ciclo de vida de desenvolvimento seguro,preventivo,"confidencialidade, integridade, disponibilidade",proteger,segurança de aplicações,proteção,tecnológico,Regras para desenvolvimento seguro devem ser estabelecidas e aplicadas.,
84,8.26,requisitos de segurança de aplicações,preventivo,"confidencialidade, integridade, disponibilidade","identificar, proteger",segurança de aplicações,proteção,tecnológico,Requisitos de segurança devem ser identificados e especificados para aplicações.,
85,8.27,arquitetura e princípios de engenharia segura,preventivo,"confidencialidade, integridade, disponibilidade",proteger,segurança de aplicações,proteção,tecnológico,Princípios de engenharia segura devem ser aplicados ao desenvolvimento de sistemas.,
86,8.28,codificação segura,preventivo,"integridade, confidencialidade",proteger,segurança de aplicações,proteção,tecnológico,Técnicas e padrões de codificação segura devem ser utilizados.,
87,8.29,testes de segurança em desenvolvimento e aceitação,detectivo,"integridade, disponibilidade",detectar,segurança de aplicações,defesa,tecnológico,Testes de segurança devem ser realizados durante desenvolvimento e aceitação.,
88,8.30,desenvolvimento terceirizado,preventivo,"confidencialidade, integridade, disponibilidade",proteger,segurança do relacionamento da cadeia de suprimentos,proteção,tecnológico,Desenvolvimento terceirizado deve ser supervisionado e controlado.,
89,8.31,"separação entre ambientes de desenvolvimento, teste e produção",preventivo,"integridade, disponibilidade",proteger,configuração segura,proteção,tecnológico,Ambientes devem ser segregados para reduzir riscos operacionais.,
90,8.32,gestão de mudanças,"preventivo, corretivo","integridade, disponibilidade","proteger, recuperar",governança,"proteção, resiliência",tecnológico,Mudanças em sistemas e serviços devem ser controladas formalmente.,
91,8.33,informações de teste,preventivo,confidencialidade,proteger,segurança de aplicações,proteção,tecnológico,Informações utilizadas em testes devem ser protegidas adequadamente.,
92,8.34,proteção de sistemas de informação durante auditoria de testes,"preventivo, detectivo","integridade, disponibilidade","proteger, detectar",garantia de segurança da informação,defesa,tecnológico,Atividades de auditoria e testes devem ser planejadas e controladas para evitar impactos nos sistemas em produção.,
